Levels of the naganuma school

begin
月, level_ngnm(replace):1-00
火, level_ngnm(replace):1-00
水, level_ngnm(replace):1-00
木, level_ngnm(replace):1-00
金, level_ngnm(replace):1-00
土, level_ngnm(replace):1-00
日, level_ngnm(replace):1-00
円, level_ngnm(replace):1-01
本, level_ngnm(replace):1-01
一, level_ngnm(replace):1-02
二, level_ngnm(replace):1-02
三, level_ngnm(replace):1-02
四, level_ngnm(replace):1-02
五, level_ngnm(replace):1-02
六, level_ngnm(replace):1-02
七, level_ngnm(replace):1-03
八, level_ngnm(replace):1-03
九, level_ngnm(replace):1-03
十, level_ngnm(replace):1-03
百, level_ngnm(replace):1-03
千, level_ngnm(replace):1-03
東, level_ngnm(replace):1-04
口, level_ngnm(replace):1-04
京, level_ngnm(replace):1-04
男, level_ngnm(replace):1-04
人, level_ngnm(replace):1-04
女, level_ngnm(replace):1-04
会, level_ngnm(replace):1-05
社, level_ngnm(replace):1-05
住, level_ngnm(replace):1-05
所, level_ngnm(replace):1-05
名, level_ngnm(replace):1-05
前, level_ngnm(replace):1-05
山, level_ngnm(replace):1-06
川, level_ngnm(replace):1-06
花, level_ngnm(replace):1-06
先, level_ngnm(replace):1-06
生, level_ngnm(replace):1-06
学, level_ngnm(replace):1-06
車, level_ngnm(replace):1-06
店, level_ngnm(replace):1-07
各, level_ngnm(replace):1-07
何, level_ngnm(replace):1-07
計, level_ngnm(replace):1-07
茶, level_ngnm(replace):1-07
万, level_ngnm(replace):1-08
方, level_ngnm(replace):1-08
両, level_ngnm(replace):1-08
大, level_ngnm(replace):1-08
小, level_ngnm(replace):1-08
員, level_ngnm(replace):1-08
元, level_ngnm(replace):1-09
気, level_ngnm(replace):1-09
天, level_ngnm(replace):1-09
雨, level_ngnm(replace):1-09
秋, level_ngnm(replace):1-09
冬, level_ngnm(replace):1-09
涼, level_ngnm(replace):1-09
有, level_ngnm(replace):1-10
高, level_ngnm(replace):1-10
安, level_ngnm(replace):1-10
多, level_ngnm(replace):1-10
少, level_ngnm(replace):1-10
冷, level_ngnm(replace):1-10
漢, level_ngnm(replace):1-11
字, level_ngnm(replace):1-11
英, level_ngnm(replace):1-11
語, level_ngnm(replace):1-11
外, level_ngnm(replace):1-11
国, level_ngnm(replace):1-11
肉, level_ngnm(replace):1-12
魚, level_ngnm(replace):1-12
貝, level_ngnm(replace):1-12
太, level_ngnm(replace):1-12
細, level_ngnm(replace):1-12
赤, level_ngnm(replace):1-12
白, level_ngnm(replace):1-12
屋, level_ngnm(replace):1-13
青, level_ngnm(replace):1-13
黒, level_ngnm(replace):1-13
色, level_ngnm(replace):1-13
思, level_ngnm(replace):1-13
軽, level_ngnm(replace):1-13
長, level_ngnm(replace):1-13
上, level_ngnm(replace):1-14
下, level_ngnm(replace):1-14
中, level_ngnm(replace):1-14
後, level_ngnm(replace):1-14
時, level_ngnm(replace):1-14
間, level_ngnm(replace):1-14
近, level_ngnm(replace):1-15
広, level_ngnm(replace):1-15
便, level_ngnm(replace):1-15
利, level_ngnm(replace):1-15
不, level_ngnm(replace):1-15
地, level_ngnm(replace):1-15
工, level_ngnm(replace):1-16
場, level_ngnm(replace):1-16
世, level_ngnm(replace):1-16
界, level_ngnm(replace):1-16
全, level_ngnm(replace):1-16
部, level_ngnm(replace):1-16
支, level_ngnm(replace):1-16
子, level_ngnm(replace):1-17
父, level_ngnm(replace):1-17
母, level_ngnm(replace):1-17
兄, level_ngnm(replace):1-17
弟, level_ngnm(replace):1-17
犬, level_ngnm(replace):1-17
午, level_ngnm(replace):1-18
分, level_ngnm(replace):1-18
半, level_ngnm(replace):1-18
朝, level_ngnm(replace):1-18
昼, level_ngnm(replace):1-18
夜, level_ngnm(replace):1-18
早, level_ngnm(replace):1-19
校, level_ngnm(replace):1-19
行, level_ngnm(replace):1-19
来, level_ngnm(replace):1-19
夕, level_ngnm(replace):1-19
終, level_ngnm(replace):1-19
