The 1006 Kyoiku kanji (school classes 1-6), taken from [wikipedia](https://en.wikipedia.org/wiki/Kyōiku_kanji)

begin
一, level_school(replace):1
二, level_school(replace):1
三, level_school(replace):1
四, level_school(replace):1
五, level_school(replace):1
六, level_school(replace):1
七, level_school(replace):1
八, level_school(replace):1
九, level_school(replace):1
十, level_school(replace):1
百, level_school(replace):1
千, level_school(replace):1
上, level_school(replace):1
下, level_school(replace):1
左, level_school(replace):1
右, level_school(replace):1
中, level_school(replace):1
大, level_school(replace):1
小, level_school(replace):1
月, level_school(replace):1
日, level_school(replace):1
年, level_school(replace):1
早, level_school(replace):1
木, level_school(replace):1
林, level_school(replace):1
山, level_school(replace):1
川, level_school(replace):1
土, level_school(replace):1
空, level_school(replace):1
田, level_school(replace):1
天, level_school(replace):1
生, level_school(replace):1
花, level_school(replace):1
草, level_school(replace):1
虫, level_school(replace):1
犬, level_school(replace):1
人, level_school(replace):1
名, level_school(replace):1
女, level_school(replace):1
男, level_school(replace):1
子, level_school(replace):1
目, level_school(replace):1
耳, level_school(replace):1
口, level_school(replace):1
手, level_school(replace):1
足, level_school(replace):1
見, level_school(replace):1
音, level_school(replace):1
力, level_school(replace):1
気, level_school(replace):1
円, level_school(replace):1
入, level_school(replace):1
出, level_school(replace):1
立, level_school(replace):1
休, level_school(replace):1
先, level_school(replace):1
夕, level_school(replace):1
本, level_school(replace):1
文, level_school(replace):1
字, level_school(replace):1
学, level_school(replace):1
校, level_school(replace):1
村, level_school(replace):1
町, level_school(replace):1
森, level_school(replace):1
正, level_school(replace):1
水, level_school(replace):1
火, level_school(replace):1
玉, level_school(replace):1
王, level_school(replace):1
石, level_school(replace):1
竹, level_school(replace):1
糸, level_school(replace):1
貝, level_school(replace):1
車, level_school(replace):1
金, level_school(replace):1
雨, level_school(replace):1
赤, level_school(replace):1
青, level_school(replace):1
白, level_school(replace):1
数, level_school(replace):2
多, level_school(replace):2
少, level_school(replace):2
万, level_school(replace):2
半, level_school(replace):2
形, level_school(replace):2
太, level_school(replace):2
細, level_school(replace):2
広, level_school(replace):2
長, level_school(replace):2
点, level_school(replace):2
丸, level_school(replace):2
交, level_school(replace):2
光, level_school(replace):2
角, level_school(replace):2
計, level_school(replace):2
直, level_school(replace):2
線, level_school(replace):2
矢, level_school(replace):2
弱, level_school(replace):2
強, level_school(replace):2
高, level_school(replace):2
同, level_school(replace):2
親, level_school(replace):2
母, level_school(replace):2
父, level_school(replace):2
姉, level_school(replace):2
兄, level_school(replace):2
弟, level_school(replace):2
妹, level_school(replace):2
自, level_school(replace):2
友, level_school(replace):2
体, level_school(replace):2
毛, level_school(replace):2
頭, level_school(replace):2
顔, level_school(replace):2
首, level_school(replace):2
心, level_school(replace):2
時, level_school(replace):2
曜, level_school(replace):2
朝, level_school(replace):2
昼, level_school(replace):2
夜, level_school(replace):2
分, level_school(replace):2
週, level_school(replace):2
春, level_school(replace):2
夏, level_school(replace):2
秋, level_school(replace):2
冬, level_school(replace):2
今, level_school(replace):2
新, level_school(replace):2
古, level_school(replace):2
間, level_school(replace):2
方, level_school(replace):2
北, level_school(replace):2
南, level_school(replace):2
東, level_school(replace):2
西, level_school(replace):2
遠, level_school(replace):2
近, level_school(replace):2
前, level_school(replace):2
後, level_school(replace):2
内, level_school(replace):2
外, level_school(replace):2
場, level_school(replace):2
地, level_school(replace):2
国, level_school(replace):2
園, level_school(replace):2
谷, level_school(replace):2
野, level_school(replace):2
原, level_school(replace):2
里, level_school(replace):2
市, level_school(replace):2
京, level_school(replace):2
風, level_school(replace):2
雪, level_school(replace):2
雲, level_school(replace):2
池, level_school(replace):2
海, level_school(replace):2
岩, level_school(replace):2
星, level_school(replace):2
室, level_school(replace):2
戸, level_school(replace):2
家, level_school(replace):2
寺, level_school(replace):2
通, level_school(replace):2
門, level_school(replace):2
道, level_school(replace):2
話, level_school(replace):2
言, level_school(replace):2
答, level_school(replace):2
声, level_school(replace):2
聞, level_school(replace):2
語, level_school(replace):2
読, level_school(replace):2
書, level_school(replace):2
記, level_school(replace):2
紙, level_school(replace):2
画, level_school(replace):2
絵, level_school(replace):2
図, level_school(replace):2
工, level_school(replace):2
教, level_school(replace):2
晴, level_school(replace):2
思, level_school(replace):2
考, level_school(replace):2
知, level_school(replace):2
才, level_school(replace):2
理, level_school(replace):2
算, level_school(replace):2
作, level_school(replace):2
元, level_school(replace):2
食, level_school(replace):2
肉, level_school(replace):2
馬, level_school(replace):2
牛, level_school(replace):2
魚, level_school(replace):2
鳥, level_school(replace):2
羽, level_school(replace):2
鳴, level_school(replace):2
麦, level_school(replace):2
米, level_school(replace):2
茶, level_school(replace):2
色, level_school(replace):2
黄, level_school(replace):2
黒, level_school(replace):2
来, level_school(replace):2
行, level_school(replace):2
帰, level_school(replace):2
歩, level_school(replace):2
走, level_school(replace):2
止, level_school(replace):2
活, level_school(replace):2
店, level_school(replace):2
買, level_school(replace):2
売, level_school(replace):2
午, level_school(replace):2
汽, level_school(replace):2
弓, level_school(replace):2
回, level_school(replace):2
会, level_school(replace):2
組, level_school(replace):2
船, level_school(replace):2
明, level_school(replace):2
社, level_school(replace):2
切, level_school(replace):2
電, level_school(replace):2
毎, level_school(replace):2
合, level_school(replace):2
当, level_school(replace):2
台, level_school(replace):2
楽, level_school(replace):2
公, level_school(replace):2
引, level_school(replace):2
科, level_school(replace):2
歌, level_school(replace):2
刀, level_school(replace):2
番, level_school(replace):2
用, level_school(replace):2
何, level_school(replace):2
丁, level_school(replace):3
世, level_school(replace):3
両, level_school(replace):3
主, level_school(replace):3
乗, level_school(replace):3
予, level_school(replace):3
事, level_school(replace):3
仕, level_school(replace):3
他, level_school(replace):3
代, level_school(replace):3
住, level_school(replace):3
使, level_school(replace):3
係, level_school(replace):3
倍, level_school(replace):3
全, level_school(replace):3
具, level_school(replace):3
写, level_school(replace):3
列, level_school(replace):3
助, level_school(replace):3
勉, level_school(replace):3
動, level_school(replace):3
勝, level_school(replace):3
化, level_school(replace):3
区, level_school(replace):3
医, level_school(replace):3
去, level_school(replace):3
反, level_school(replace):3
取, level_school(replace):3
受, level_school(replace):3
号, level_school(replace):3
向, level_school(replace):3
君, level_school(replace):3
味, level_school(replace):3
命, level_school(replace):3
和, level_school(replace):3
品, level_school(replace):3
員, level_school(replace):3
商, level_school(replace):3
問, level_school(replace):3
坂, level_school(replace):3
央, level_school(replace):3
始, level_school(replace):3
委, level_school(replace):3
守, level_school(replace):3
安, level_school(replace):3
定, level_school(replace):3
実, level_school(replace):3
客, level_school(replace):3
宮, level_school(replace):3
宿, level_school(replace):3
寒, level_school(replace):3
対, level_school(replace):3
局, level_school(replace):3
屋, level_school(replace):3
岸, level_school(replace):3
島, level_school(replace):3
州, level_school(replace):3
帳, level_school(replace):3
平, level_school(replace):3
幸, level_school(replace):3
度, level_school(replace):3
庫, level_school(replace):3
庭, level_school(replace):3
式, level_school(replace):3
役, level_school(replace):3
待, level_school(replace):3
急, level_school(replace):3
息, level_school(replace):3
悪, level_school(replace):3
悲, level_school(replace):3
想, level_school(replace):3
意, level_school(replace):3
感, level_school(replace):3
所, level_school(replace):3
打, level_school(replace):3
投, level_school(replace):3
拾, level_school(replace):3
持, level_school(replace):3
指, level_school(replace):3
放, level_school(replace):3
整, level_school(replace):3
旅, level_school(replace):3
族, level_school(replace):3
昔, level_school(replace):3
昭, level_school(replace):3
暑, level_school(replace):3
暗, level_school(replace):3
曲, level_school(replace):3
有, level_school(replace):3
服, level_school(replace):3
期, level_school(replace):3
板, level_school(replace):3
柱, level_school(replace):3
根, level_school(replace):3
植, level_school(replace):3
業, level_school(replace):3
様, level_school(replace):3
横, level_school(replace):3
橋, level_school(replace):3
次, level_school(replace):3
歯, level_school(replace):3
死, level_school(replace):3
氷, level_school(replace):3
決, level_school(replace):3
油, level_school(replace):3
波, level_school(replace):3
注, level_school(replace):3
泳, level_school(replace):3
洋, level_school(replace):3
流, level_school(replace):3
消, level_school(replace):3
深, level_school(replace):3
温, level_school(replace):3
港, level_school(replace):3
湖, level_school(replace):3
湯, level_school(replace):3
漢, level_school(replace):3
炭, level_school(replace):3
物, level_school(replace):3
球, level_school(replace):3
由, level_school(replace):3
申, level_school(replace):3
界, level_school(replace):3
畑, level_school(replace):3
病, level_school(replace):3
発, level_school(replace):3
登, level_school(replace):3
皮, level_school(replace):3
皿, level_school(replace):3
相, level_school(replace):3
県, level_school(replace):3
真, level_school(replace):3
着, level_school(replace):3
短, level_school(replace):3
研, level_school(replace):3
礼, level_school(replace):3
神, level_school(replace):3
祭, level_school(replace):3
福, level_school(replace):3
秒, level_school(replace):3
究, level_school(replace):3
章, level_school(replace):3
童, level_school(replace):3
笛, level_school(replace):3
第, level_school(replace):3
筆, level_school(replace):3
等, level_school(replace):3
箱, level_school(replace):3
級, level_school(replace):3
終, level_school(replace):3
緑, level_school(replace):3
練, level_school(replace):3
羊, level_school(replace):3
美, level_school(replace):3
習, level_school(replace):3
者, level_school(replace):3
育, level_school(replace):3
苦, level_school(replace):3
荷, level_school(replace):3
落, level_school(replace):3
葉, level_school(replace):3
薬, level_school(replace):3
血, level_school(replace):3
表, level_school(replace):3
詩, level_school(replace):3
調, level_school(replace):3
談, level_school(replace):3
豆, level_school(replace):3
負, level_school(replace):3
起, level_school(replace):3
路, level_school(replace):3
身, level_school(replace):3
転, level_school(replace):3
軽, level_school(replace):3
農, level_school(replace):3
返, level_school(replace):3
追, level_school(replace):3
送, level_school(replace):3
速, level_school(replace):3
進, level_school(replace):3
遊, level_school(replace):3
運, level_school(replace):3
部, level_school(replace):3
都, level_school(replace):3
